id,title,description,availability,condition,price,link,image_link,brand
flauta-cochinita-v1,"Flauta de Cochinita (6U) - Ración 6 Unidades","Tortilla de maíz frita rellena de cochinita pibil al horno, queso fundido, crema y cilantro. Crujen tanto que tus vecinos de mesa sabrán exactamente qué estás comiendo.",in stock,new,12.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
flauta-cochinita-v2,"Flauta de Cochinita (6U) - Ración 12 Unidades","Tortilla de maíz frita rellena de cochinita pibil al horno, queso fundido, crema y cilantro. Crujen tanto que tus vecinos de mesa sabrán exactamente qué estás comiendo.",in stock,new,22.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
flauta-pollo-v1,"Flauta de Pollo - Ración 6 Unidades","Pollo desmechado sin dramas, queso amarillo, crema y cilantro sobre tortilla de maíz frita. El clásico infalible.",in stock,new,10.50 USD,https://santopadre.store/#menu,https://i.ibb.co/5WYNDPGj/IMG-7090.jpg,SantoPadre
flauta-pollo-v2,"Flauta de Pollo - Ración 12 Unidades","Pollo desmechado sin dramas, queso amarillo, crema y cilantro sobre tortilla de maíz frita. El clásico infalible.",in stock,new,19.00 USD,https://santopadre.store/#menu,https://i.ibb.co/5WYNDPGj/IMG-7090.jpg,SantoPadre
nachos-v1,"Nachos - Tamaño Pequeño (PEQ)","Una montaña de totopos bajo carne chilli, cheddar, pico de gallo, guacamole y nata. Tienen alma y probablemente manchen tu camisa blanca.",in stock,new,7.25 USD,https://santopadre.store/#menu,https://i.ibb.co/1CM7g26/IMG-7103.jpg,SantoPadre
nachos-v2,"Nachos - Tamaño Grande (GDE)","Una montaña de totopos bajo carne chilli, cheddar, pico de gallo, guacamole y nata. Tienen alma y probablemente manchen tu camisa blanca.",in stock,new,14.50 USD,https://santopadre.store/#menu,https://i.ibb.co/1CM7g26/IMG-7103.jpg,SantoPadre
tacos-pastor,"Tacos al Pastor (3U)","Cerdo marinado al pastor, cebolla, cilantro y piña asada. El equilibrio sagrado.",in stock,new,11.50 USD,https://santopadre.store/#menu,https://i.ibb.co/Vc8pztsj/IMG-7083.jpg,SantoPadre
tacos-carne,"Tacos de Carne (3U)","Punta trasera marinada de la buena, cebolla y cilantro. Simple, directo, perfecto.",in stock,new,12.50 USD,https://santopadre.store/#menu,https://i.ibb.co/Ngn6LDND/IMG-7085-2.jpg,SantoPadre
tacos-pollo,"Tacos de Pollo (3U)","Pollo marinado con nuestra receta secreta, cebolla y cilantro.",in stock,new,11.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
tacos-birria,"Tacos de Birria (3U)","Queso fundido, carne de res adobada hecha a fuego lento, cebolla y cilantro. Incluye consomé.",in stock,new,12.50 USD,https://santopadre.store/#menu,https://i.ibb.co/Ynk4Yw4/IMG-1189.avif,SantoPadre
tacos-cochinita,"Tacos de Cochinita (3U)","Cerdo marinado hecho a fuego lento, cebollas moradas encurtidas y cilantro. Una oda a Yucatán.",in stock,new,11.50 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
fajitas,"Fajitas (6U)","Un festín de lomito y pollo salteado con cebolla y pimentón, tortillas de harina de trigo, pico de gallo, guacamole y queso. Tú las montas.",in stock,new,38.00 USD,https://santopadre.store/#menu,https://i.ibb.co/9m3x4Gsz/572b36867c5186f1c20dd1315182276b.jpg,SantoPadre
burritos-v1,"Burritos - Proteína: Punta Trasera","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
burritos-v2,"Burritos - Proteína: Cerdo al Pastor","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
burritos-v3,"Burritos - Proteína: Carne Chilli","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
burritos-v4,"Burritos - Proteína: Pollo","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
burritos-v5,"Burritos - Proteína: Birria","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
burritos-v6,"Burritos - Proteína: Cochinita","Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,17.00 USD,https://santopadre.store/#menu,https://i.ibb.co/mrnbBWpw/IMG-7618.avif,SantoPadre
birria-ramen,"Birria Ramen","Fideos ramen en consomé de res de cocción lenta, birria deshebrada, cebolla y cilantro. El abrazo que necesitas.",in stock,new,13.50 USD,https://santopadre.store/#menu,https://i.ibb.co/HcZ0kJB/este-mismo.jpg,SantoPadre
agua-v1,"Agua - Botella 600ML","Hidratación pura y necesaria para seguir pecando sin dramas.",in stock,new,2.00 USD,https://santopadre.store/#menu,https://i.ibb.co/d0yGp6mD/Screenshot-2026-04-15-at-1-48-05-pm.png,SantoPadre
agua-v2,"Agua - Botella 1.5L","Hidratación pura y necesaria para seguir pecando sin dramas.",in stock,new,3.50 USD,https://santopadre.store/#menu,https://i.ibb.co/d0yGp6mD/Screenshot-2026-04-15-at-1-48-05-pm.png,SantoPadre
